AAPL,Large-Cap Stocks
CASH,Cash
EEM,Emerging Markets Stocks
EWJ,International Stocks
ITE,Intermediate Bonds
IVOO,Mid-Cap Stocks
IVV,Large-Cap Stocks
IWM,Small-Cap Stocks
IYY,Large-Cap Stocks
PBD,International Stocks
QQQ,Large-Cap Stocks
SLY,Small-Cap Stocks
VEA,International Stocks
VGSH,Short-Term Bonds
VONE,Large-Cap Stocks
VWO,Emerging Markets Stocks
